model,0,1,2,3,4,5,6,7,8
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9429816,0.8908552,0.9573517,0.86704016,0.9538509,1.0197606,0.96099055,0.9426556,0.9866335
cnn3d_gelu_0_5/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8928386569023132,0.968238115310669,0.981313943862915,0.878260612487793,0.9742636680603028,0.9658280611038208,0.9597342610359192,0.9940686225891112,1.0203750133514404
cnn3d_huge_kernal/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.921452522277832,0.986726701259613,0.9634511470794678,0.9219656586647034,0.9857118725776672,0.9669256806373596,0.9749000072479248,0.996800184249878,1.013269305229187
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6873593926429749,0.9829772114753724,0.9377637505531312,0.8649551868438721,0.9604337215423584,1.0001555681228638,0.8158621191978455,0.9671799540519714,0.990083396434784
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=32_crit=MSELoss,0.6690458059310913,0.9830695986747742,0.9433693885803224,0.8778509497642517,0.957946002483368,1.0016685724258425,0.7974879145622253,0.9694347977638244,0.9954887628555298
cnn3d_4_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6912740468978882,0.9905436635017396,0.9332841038703918,0.8742268085479736,0.9547750353813172,0.9929621815681458,0.8349079489707947,0.9698743224143982,0.9966147541999816
cnn3d_gelu_0_5/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6664482951164246,0.9894798398017884,0.9452645778656006,0.8808279037475586,0.96010023355484,0.995738923549652,0.7829647064208984,0.968363642692566,0.9973174333572388
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,0.9161599278450012,0.9723321199417114,0.9512733817100524,0.899972140789032,0.9727208614349364,0.9369405508041382,0.949877381324768,0.9498926997184752,1.0096662044525146
cnn3d_3_layer_big/level=slgt_small_glade_new/opt=Adam_lr=0.005_batch=32_crit=MSELoss,0.6390519142150879,0.981556236743927,0.9313939213752748,0.8560444116592407,0.9578341245651244,0.9929508566856384,0.8016490340232849,0.9700137972831726,0.9959510564804076
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.01_batch=64_crit=MSELoss,0.6421940326690674,0.9816861152648926,0.9472796320915222,0.8526351451873779,0.9581120014190674,0.9894458055496216,0.7479730844497681,0.9633517265319824,0.9936015009880066
cnn3d_dropout_5_5/level=small_glade_new/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9284982085227966,0.9552937746047974,0.9553368091583252,0.9058589935302734,0.9810894727706908,0.9720292687416076,0.9620589017868042,0.9814707040786744,1.0131080150604248
cnn3d_huge_kernal/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9386954307556152,0.9713285565376282,0.9668505787849426,0.8375068306922913,0.960901379585266,0.985543966293335,0.9571309089660645,0.9788721203804016,1.0159028768539429
cnn3d_3_layer/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9262770414352416,0.9313424229621888,0.971315860748291,0.8181548714637756,0.976620614528656,0.99936181306839,0.9249120354652404,0.9759350419044496,0.9797157645225524
raw_outlook_slgt_new,1.2351391695061231,1.0194360442708146,1.0177689088655353,1.306120217473023,1.0742411634627609,1.0010274148871598,1.114686519203061,1.0020253986181198,1.0042264713097886
predict_zero_slgt_new,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0,1.0000000000000002
raw_outlook_new,1.1474601283985275,1.0501500901416931,1.0054955002766328,1.4152214875361524,1.1866631528136704,1.0135559347603098,1.167651884991279,1.0193205723328789,1.0115359441751233
predict_zero_new,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999998,1.0,0.9999999999999997,0.9999999999999998,0.9999999999999998
