model,0,1,2,3,4,5,6,7,8
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,21.17974609377444,133671.26685516344,138413.03099873266,15.261804769023811,162746.06705710027,164126.36915729815,7.330533547483024,130186.83098190768,130945.11097562524
cnn3d_gelu_0_5/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,20.60893953756373,139355.9775831397,140134.54726555588,15.360239927639912,164478.26226917433,159727.28991534165,7.32574034075181,133689.93475388433,133165.36240014868
cnn3d_huge_kernal/level=full_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,20.93657518952933,140680.1973132967,138853.25632329631,15.737786860407988,165441.79585589052,159818.0322287464,7.383394318536449,133873.4854318897,132700.88228192093
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,13.606856898909763,152903.46526639452,142181.91106437548,10.260875094918642,157739.52659225647,145093.48603023138,3.292052839954247,99970.6703831358,96286.47818854787
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=32_crit=MSELoss,13.424366965933352,152910.64447759688,142606.24039944008,10.337082103981569,157535.11324414585,145203.20644363802,3.254771090230059,100087.13597283352,96548.95882655904
cnn3d_4_layer/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,13.645549276349556,153490.81850453265,141841.91026010638,10.315722308827986,157274.15452250707,144570.77479845507,3.330256553515312,100109.82076982802,96603.54520166092
cnn3d_gelu_0_5/level=slgt_small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,13.39828216214016,153408.3724798541,142749.4133720236,10.35459488698502,157712.14612126068,144772.77346938552,3.224998436166918,100031.82360323876,96637.59824039738
cnn3d_gelu_0_5/level=small_glade_new/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,20.87636097132891,139650.2870895648,137972.93215146966,15.548941100712806,164347.98013272492,157320.47284066802,7.288024034856764,130685.62111791906,132464.7291239629
cnn3d_3_layer_big/level=slgt_small_glade_new/opt=Adam_lr=0.005_batch=32_crit=MSELoss,13.120003821039788,152792.89989847908,141698.20345186713,10.20788431097508,157525.91286864303,144569.95327896628,3.2632514630623306,100117.0188304128,96571.37823061876
cnn3d_3_layer/level=slgt_small_glade_new/opt=Adam_lr=0.01_batch=64_crit=MSELoss,13.152218284708026,152803.01146355283,142901.48652267054,10.187537233549907,157548.75551105407,144314.56448883875,3.1521102866502084,99772.6207145035,96457.39514262594
cnn3d_dropout_5_5/level=small_glade_new/opt=Adam_lr=0.001_batch=64_crit=MSELoss,21.01646517508722,138421.320147892,138267.29542107016,15.59971249774214,165053.43252454128,160239.2424120322,7.334606926348243,132840.0997502412,132690.32162961856
cnn3d_huge_kernal/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,21.13155703897386,139578.19751019092,139098.00676375045,14.999627214539078,163346.43558800066,161349.35599375414,7.315797801924101,132664.12575266554,132873.21578362907
cnn3d_3_layer/level=small_glade_new/opt=Adam_lr=0.001_batch=8_crit=MSELoss,20.991312433307744,136675.03872228827,139418.83751647305,14.825319248940366,164677.097223019,162476.51948169927,7.191611672198321,132464.9501693436,130485.2511427798
raw_outlook_slgt_new,18.239957814426443,155713.2554165749,148122.9075772069,12.608957003630028,166823.69517665042,145156.72027186918,3.847997504922663,101755.59964555108,96971.75422909444
predict_zero_slgt_new,16.41216529368031,154221.73758205416,146824.19843494997,11.032846802974328,160955.87809336785,145082.20959430118,3.644671638895241,101652.70809105258,96767.47736070008
raw_outlook_new,23.36350258441675,145131.00536663938,141850.63711595576,19.498378639730877,181523.9685949064,163626.28991724664,8.080397334558329,135377.32339034905,132587.33190913335
predict_zero_new,21.81067716696668,141623.2370614622,141462.4661726658,16.390276978697592,166636.5437335578,162528.38607142586,7.477837517410391,134088.190013181,131829.12557876998
