model,0,1,2,3,4,5,6,7,8,9,10,11
cnn3d_dropout_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,23.538999095240115,22.39668432495716,18.143261291994712,7.890987001208104,127195.57762990518,144996.72548566168,146195.53774445227,137021.42032030455,126095.07016636564,139855.85031759948,161902.9451364374,137956.48833478827
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,23.7820732565203,22.21950401459072,17.208468651025875,7.768442746618176,126395.59191438896,139453.91473769423,155484.4047722635,134593.3979491767,120932.28091479736,140152.8949059744,159392.09457146234,132155.2171491187
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,22.91226819935988,22.38677967598488,17.136379723341463,7.601543613770708,126822.55053977518,138058.6690449082,150839.16177493022,133935.54547781465,121182.36352828662,139354.88216142968,160074.4880057042,131978.93911805356
cnn3d/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,25.31589883335757,24.95606995846436,19.993222032851413,8.174879927241843,136349.36294665505,160623.9229509297,157427.38350951322,148864.1234922403,134652.128208321,155997.30502126683,173467.47027995167,144959.99235049373
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=4_crit=MSELoss,26.121175491045072,24.056779214260327,19.93361675215269,8.354270915633963,132979.0745171633,161270.7876426652,161066.88059414798,144803.96587082112,134602.30990939884,154507.5204647478,165088.72011423495,141808.78485195173
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,25.23128226907752,23.495763670424093,18.099824814337225,8.232532312033296,129509.95626224104,148695.7819306214,161426.66866388518,139131.55778909914,126042.68661858149,148855.21617011924,162802.9089365122,133273.373357402
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=32_crit=MSELoss,24.924894530356017,23.16273218728695,18.39640443755104,8.031405807775633,130830.89228375048,147594.58406077564,159680.1709225371,137378.37148206873,128011.34021683122,144671.71806373703,161252.07465381495,138344.46658484938
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=4_crit=MSELoss,23.84649190103244,22.54872508123586,17.7155083012985,7.741408890717381,126823.59931483978,141624.92534200958,153064.01952662182,136855.72439343843,124611.00082331336,141433.69680267133,161037.36208476376,134032.13736702007
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=8_crit=MSELoss,23.59059745823811,22.52770018200446,17.720228938668583,7.765967028519415,126140.94626658718,140780.01690066158,150542.8610434704,136517.2353960125,122485.05082893492,139550.66059106085,161084.37526368478,132732.7528219049
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0001_batch=32_crit=MSELoss,23.568422445683623,22.44674843802184,17.204495172328855,7.744334351633088,126846.61112392144,138820.96991907203,153811.1776965087,133757.00595870108,120109.62309508868,139999.47794025065,159145.61686462376,130980.47816015872
